audio_array|sr|text|duration|count_words|median_pitch|db_voice_volume|db_noise_level
"[-3.05175781e-05  0.00000000e+00  0.00000000e+00 ...  6.10351562e-05
  6.10351562e-05  6.10351562e-05]"|16000|три ангела на смотрешке|1.82|4|208.6793262328846|-16.237928|-51.93234279045034
[0.         0.         0.         ... 0.00219727 0.00366211 0.0022583 ]|16000|цветущая парочка цветущие влюбленные восьмой сезон|4.64|6|211.28242810230978|-13.890154|-31.37551352735178
"[3.05175781e-05 0.00000000e+00 0.00000000e+00 ... 4.94384766e-03
 4.39453125e-03 3.20434570e-03]"|16000|афина алиса скажи баланс карты сбербанк|4.620375|6|209.21010997458305|-14.950606|-43.85332020661716
[0.0098877  0.01049805 0.00750732 ... 0.00228882 0.00317383 0.00302124]|16000|фильмец стэнли кубрика борджиа|5.54|4|194.93547999084848|-18.011992|-42.743307548165625
[0.         0.         0.         ... 0.0007019  0.00076294 0.00115967]|16000|поставь бессердечный аш д|3.1783125|4|163.98572827279526|-18.152136|-38.880278748467845
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  2.13623047e-04
 -6.10351562e-05 -2.13623047e-04]"|16000|рубцовска|1.5785625|1|192.9716156707999|-17.004078|-42.221387749457946
"[-9.15527344e-05 -3.05175781e-04 -5.18798828e-04 ... -5.79833984e-04
 -6.10351562e-04 -5.18798828e-04]"|16000|смотра тв первая часть|3.014|4|197.01413804354596|-20.347307|-48.79821221179501
"[ 0.00000000e+00  3.05175781e-05  3.05175781e-05 ... -1.22070312e-04
 -1.52587891e-04 -1.83105469e-04]"|16000|у тебя есть заклятые друзья|4.18|5|186.16108778825534|-21.13989|-34.40165309328698
"[-0.00067139 -0.00045776 -0.0005188  ...  0.0039978   0.00036621
 -0.00460815]"|16000|шакира первая часть|2.134|3|210.91682402850196|-11.722|-55.82065455828838
"[ 0.          0.          0.         ... -0.00119019 -0.00149536
 -0.00158691]"|16000|какие новинки идут по каналу тнт мьюзик|3.3665|7|198.7688818271622|-12.13695|-48.155341876841625
"[ 0.00000000e+00 -3.05175781e-05 -3.05175781e-05 ... -3.96728516e-04
 -1.52587891e-04 -1.83105469e-04]"|16000|пожалуйста пирожные тирамису три штуки|8.26|5|187.25003715952528|-23.607416|-37.46759675031856
"[ 0.          0.          0.         ...  0.00045776 -0.00018311
 -0.00097656]"|16000|вруби вторую часть пятого сезона затерянные в космосе|4.68|8|187.2180275909745|-14.600456|-33.55516116080671
"[ 0.00500488  0.00469971  0.00488281 ... -0.00143433 -0.00213623
 -0.0017395 ]"|16000|на ютьюбе включай ловись рыбка тв|4.554|6|206.6712307869253|-18.614578|-57.265644227561445
"[ 0.          0.          0.         ... -0.00079346 -0.00036621
  0.00088501]"|16000|включи один раз в год|2.60025|5|178.52509599704462|-16.93541|-33.76899061363552
[0.         0.         0.         ... 0.00292969 0.00592041 0.00509644]|16000|сбер где поблизости можно воспользоваться банкоматом чтобы оплатить услуги|5.5259375|9|195.41361929822472|-11.509434|-41.47965669590217
"[-0.0010376  -0.00134277 -0.0012207  ... -0.00015259 -0.00012207
 -0.00015259]"|16000|запусти на смотрешке передачу европа плюс тв|3.555625|7|187.43220080656573|-10.661307|-46.292030590302296
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -3.05175781e-05
 -3.05175781e-05  6.10351562e-05]"|16000|сыр голландский семьсот грамм помидоры черри два килограмма с доставкой на дом|8.36|12|187.7427226103869|-22.49383|-37.35655558914693
[0.         0.         0.         ... 0.00036621 0.00042725 0.00030518]|16000|алексей иванович вишняков|2.46|3|219.6519856297296|-13.788316|-33.7285978807269
[0.00595093 0.003479   0.0071106  ... 0.01535034 0.02120972 0.02111816]|16000|поставить телеканал капитан на тв|2.76|5|201.54623156154005|-12.910698|-37.898737483568304
