|audio_array|sr|text|duration|count_words|median_pitch|db_voice_volume|db_noise_level
571|"[-3.05175781e-05  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
  0.00000000e+00  3.05175781e-05]"|16000|гостях сказки на смотрешке|2.46|4|206.43723750699613|-15.192749|-46.35476593545912
59|[0.         0.         0.         ... 0.00332642 0.00204468 0.00247192]|16000|включи мне на телевизоре тнв|2.80925|5|226.89812547172272|-11.971735|-39.09286472243083
4144|"[-3.05175781e-05 -6.10351562e-05  0.00000000e+00 ...  3.66210938e-04
 -1.83105469e-04 -7.01904297e-04]"|16000|найди фильм тарантино|2.1358125|3|211.8170719391079|-16.591856|-51.53366584845821
3440|"[ 0.00158691  0.0010376   0.00112915 ... -0.0015564  -0.00088501
  0.00015259]"|16000|тридцать семь тысяч австралийских долларов это сколько будет в фунтах|4.96|10|191.39268830361164|-11.078948|-33.99305732834444
4377|"[ 0.00018311  0.00036621  0.00054932 ... -0.00039673 -0.0012207
 -0.00097656]"|16000|ассистент скажи можно взять в отеле напрокат коньки чтобы покататься|8.16|10|199.6637466274986|-16.489851|-35.00902858239944
6023|[0.         0.         0.         ... 0.00305176 0.00180054 0.00024414]|16000|мультики для детей до трех лет|4.1791875|6|202.06346423485363|-20.7751|-41.43765059971881
1460|"[ 0.00000000e+00  0.00000000e+00 -3.05175781e-05 ... -3.05175781e-05
  0.00000000e+00 -1.52587891e-04]"|16000|трест который лопнул закачай|3.6|4|200.78888394020692|-16.947182|-34.07596975831176
2305|"[ 0.0007019   0.00085449  0.00079346 ... -0.00030518 -0.00030518
 -0.00027466]"|16000|айди инвестигейшн на смотрешке|2.1123125|4|191.5684959147301|-10.872467|-42.0781983248278
4634|"[ 3.05175781e-05  3.05175781e-05 -3.05175781e-05 ... -5.49316406e-04
 -7.93457031e-04  4.57763672e-04]"|16000|сбер возведи мне степень числа два в квадрате|4.88|8|195.63508376509455|-17.866837|-37.94874083513388
3119|[0.         0.         0.         ... 0.00094604 0.00189209 0.00170898]|16000|перевести деньги по номеру телефона|4.24|5|191.52901298917192|-18.706127|-31.616992332769104
4364|"[-0.00042725 -0.00030518 -0.00030518 ...  0.00201416  0.00210571
  0.00170898]"|16000|поставить яркость на десять процентов на час|6.5244375|7|186.88209695041388|-14.977032|-48.5269824962138
772|"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
 0.00000000e+00 3.05175781e-05]"|16000|смотреть сериал говорящая с призраками второй сезон|5.08|7|196.09943963546235|-21.312939|-42.76059399604895
1514|"[ 0.00000000e+00  0.00000000e+00 -3.05175781e-05 ... -2.47192383e-03
 -2.89916992e-03 -2.74658203e-03]"|16000|салют объясните пожалуйста почему мне не начисляются бонусы спасибо|5.50275|9|188.4148325704719|-12.935866|-44.51612957097973
3615|"[-0.00036621 -0.00027466 -0.00024414 ...  0.00027466  0.00012207
  0.        ]"|16000|эпизод тридцать четыре тринадцатый сезон сериал моими глазами|5.2|8|200.2675905087352|-15.522114|-39.55040953975419
